Course Code,Course Title,Credits,Status,Year,Materials,Grade,Mode,Attendance
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Hybrid,100
CSC 111,Introduction to Computer Science,3,C,1,No,F,Hybrid,70.6
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,99.5
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Hybrid,89.8
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Hybrid,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Online,77.1
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,80.3
CSC 111,Introduction to Computer Science,3,C,1,No,C,Physical,83.5
CSC 111,Introduction to Computer Science,3,C,1,No,D,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,D,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Hybrid,77.9
CSC 111,Introduction to Computer Science,3,C,1,No,B,Online,100
CSC 111,Introduction to Computer Science,3,C,1,No,F,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,74.4
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,82.6
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Physical,91.7
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Online,78.7
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,88.5
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,98.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Hybrid,79.3
CSC 111,Introduction to Computer Science,3,C,1,No,B,Hybrid,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,81.9
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,85.1
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,69.1
CSC 111,Introduction to Computer Science,3,C,1,No,A,Hybrid,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Online,97.4
CSC 111,Introduction to Computer Science,3,C,1,Yes,E,Hybrid,74.9
CSC 111,Introduction to Computer Science,3,C,1,Yes,E,Online,95.6
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,78.1
CSC 111,Introduction to Computer Science,3,C,1,No,D,Online,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Online,78.6
CSC 111,Introduction to Computer Science,3,C,1,Yes,F,Hybrid,62.6
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,C,Hybrid,93
CSC 111,Introduction to Computer Science,3,C,1,No,A,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,90.8
CSC 111,Introduction to Computer Science,3,C,1,Yes,F,Hybrid,91.2
CSC 111,Introduction to Computer Science,3,C,1,No,C,Physical,100
