,Course_Code,Course_Title,Course_Credits,Requirement_Status,Materials_Available,Year,Grade,Attendance_Percentage,Mode
0,CSC 111,Introduction to Computer Science,3,C,Yes,1,E,64.3,Physical
1,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,68.9,Hybrid
2,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,61.6,Physical
3,CSC 111,Introduction to Computer Science,3,C,Yes,1,F,62.9,Physical
4,CSC 111,Introduction to Computer Science,3,C,No,1,C,66.0,Physical
5,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,64.1,Hybrid
6,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,63.8,Physical
7,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,68.9,Physical
8,CSC 111,Introduction to Computer Science,3,C,No,1,E,67.1,Physical
9,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,64.3,Hybrid
10,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,80.0,Physical
11,CSC 111,Introduction to Computer Science,3,C,No,1,B,68.1,Online
12,CSC 111,Introduction to Computer Science,3,C,Yes,1,E,55.1,Physical
13,CSC 111,Introduction to Computer Science,3,C,No,1,F,59.6,Hybrid
14,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,69.2,Hybrid
15,CSC 111,Introduction to Computer Science,3,C,No,1,C,67.3,Physical
16,CSC 111,Introduction to Computer Science,3,C,No,1,F,72.0,Physical
17,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,62.0,Hybrid
18,CSC 111,Introduction to Computer Science,3,C,No,1,E,64.5,Hybrid
19,CSC 111,Introduction to Computer Science,3,C,No,1,A,77.2,Physical
20,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,64.5,Physical
21,CSC 111,Introduction to Computer Science,3,C,Yes,1,F,64.0,Hybrid
22,CSC 111,Introduction to Computer Science,3,C,No,1,C,58.9,Hybrid
23,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,63.2,Physical
24,CSC 111,Introduction to Computer Science,3,C,No,1,B,70.3,Online
25,CSC 111,Introduction to Computer Science,3,C,No,1,A,68.0,Online
26,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,63.4,Physical
27,CSC 111,Introduction to Computer Science,3,C,No,1,F,64.8,Physical
28,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,66.5,Physical
29,CSC 111,Introduction to Computer Science,3,C,Yes,1,D,62.2,Online
30,CSC 111,Introduction to Computer Science,3,C,No,1,C,62.6,Physical
31,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,61.1,Hybrid
32,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,66.1,Physical
